"o","count"
"ROMA (RM)",12920
"Milano (MI)",3745
"Castel Guelfo di Bologna (BO)",2120
"Torino (TO)",1932
"Novara (NO)",1351
"San Donato Milanese (MI)",1346
"Piacenza (PC)",1095
"Imola (BO)",1012
"Capaccio Paestum (SA)",952
"Padova (PD)",870
"Aquileia (UD)",822
"Oderzo (TV)",821
"Pompei (NA)",793
"Gravina in Puglia (BA)",692
"Campolongo Maggiore (VE)",692
"Pisa (PI)",655
"Bologna (BO)",606
"Inveruno (MI)",588
"Fossombrone (PU)",534
"Montebelluna (TV)",528
"Verona (VR)",521
"Peccioli (PI)",510
"Roma (RM)",492
"Pozzuoli (NA)",482
"Firenze (FI)",461
"Lucca (LU)",448
"Comacchio (FE)",443
"Prato (PO)",415
"Reggio di Calabria (RC)",363
"San Casciano in Val di Pesa (FI)",321
"Bari (BA)",311
"Senigallia (AN)",300
"Spilamberto (MO)",300
"Venafro (IS)",291
"Pogliano Milanese (MI)",278
"San Miniato (PI)",269
"Pau (OR)",267
"Reggio nell'Emilia (RE)",243
"Foggia (FG)",235
"Castelfranco Emilia (MO)",235
"Borgia (CZ)",229
"Policoro (MT)",218
"Castelfranco di Sotto (PI)",213
"Pianello Val Tidone (PC)",212
"San Venanzo (TR)",207
"Cassano all'Ionio (CS)",206
"Biella (BI)",205
"Adria (RO)",200
"Cosenza (CS)",196
"Finale Emilia (MO)",186
"Boscoreale (NA)",180
"L'Aquila (AQ)",179
"Nola (NA)",175
"Campo nell'Elba (LI)",167
"Arezzo (AR)",149
"Acqui Terme (AL)",142
"Borgoricco (PD)",140
"Nichelino (TO)",135
"Campobasso (CB)",131
"Venezia (VE)",126
"Rosignano Marittimo (LI)",115
"Cagliari (CA)",114
"Salsomaggiore Terme (PR)",110
"Volterra (PI)",104
"Lamon (BL)",102
"Montecchio Maggiore (VI)",100
"San Severino Marche (MC)",100
"Chieti (CH)",99
"Capraia Isola (LI)",98
"San Pietro in Casale (BO)",98
"Sona (VR)",96
"Ferrara (FE)",89
"Modena (MO)",88
"Caorle (VE)",87
"Vigolzone (PC)",81
"Legnago (VR)",81
"Serra d'Aiello (CS)",79
"Massa Marittima (GR)",75
"Rende (CS)",75
"Luni (SP)",75
"Poviglio (RE)",74
"Chioggia (VE)",71
"Ischia (NA)",70
"Caporciano (AQ)",69
"Aulla (MS)",66
"Tolentino (MC)",65
"Campagna Lupia (VE)",64
"Palazzo San Gervasio (PZ)",60
"Salzano (VE)",60
"San Gimignano (SI)",59
"Capannoli (PI)",56
"Jesi (AN)",55
"Carrara (MS)",54
"Teti (NU)",53
"Bernalda (MT)",52
"Cecina (LI)",51
"Fumane (VR)",51
"Legnano (MI)",50
"Fosdinovo (MS)",47
"Agazzano (PC)",47
"Alta Val Tidone (PC)",46
"Monasterace (RC)",45
"Santa Maria a Monte (PI)",44
"Vagli Sotto (LU)",43
"Portoferraio (LI)",42
"Morrovalle (MC)",41
"San Felice sul Panaro (MO)",41
"Cornaredo (MI)",39
"Camaiore (LU)",39
"Potenza (PZ)",37
"Orvieto (TR)",35
"Alba (CN)",34
"Travo (PC)",34
"Auronzo di Cadore (BL)",32
"Vaie (TO)",31
"Montegrotto Terme (PD)",31
"San Giuliano Milanese (MI)",31
"Budrio (BO)",31
"Castell'Arquato (PC)",31
"Fiorano Modenese (MO)",30
"Montelupo Fiorentino (FI)",29
"Calcinaia (PI)",28
"Borgonovo Val Tidone (PC)",28
"Todi (PG)",27
"San Giorgio Piacentino (PC)",26
"Bettola (PC)",26
"Melfi (PZ)",26
"Piombino (LI)",22
"Parma (PR)",21
"Venosa (PZ)",21
"Pietrasanta (LU)",20
"Ancona (AN)",19
"Tortona (AL)",19
"Genova (GE)",19
"Anzola dell'Emilia (BO)",19
"Maddaloni (CE)",18
"Valsamoggia (BO)",18
"San Marcello Piteglio (PT)",18
"FI (Toscana)",17
"Borgo a Mozzano (LU)",17
"Pistoia (PT)",17
"Ponte dell'Olio (PC)",17
"Castelfiorentino (FI)",17
"Banzi (PZ)",17
"Genzano di Lucania (PZ)",16
"Feltre (BL)",15
"Cetraro (CS)",14
"Pontremoli (MS)",14
"Tresana (MS)",14
"Montescudaio (PI)",13
"Carpaneto Piacentino (PC)",13
"Corte Brugnatella (PC)",13
"Corinaldo (AN)",12
"Capestrano (AQ)",12
"Calci (PI)",12
"Matera (MT)",12
"Porcari (LU)",12
"Cervarese Santa Croce (PD)",11
"Carmignano (PO)",11
"Piozzano (PC)",10
"Podenzano (PC)",9
"Fonzaso (BL)",9
"Prata d'Ansidonia (AQ)",9
"Lavello (PZ)",8
"Trivignano Udinese (UD)",8
"Sassuolo (MO)",7
"Traversetolo (PR)",7
"Massa (MS)",6
"Mirandola (MO)",6
"Gragnano Trebbiense (PC)",6
"Marzabotto (BO)",6
"Casola in Lunigiana (MS)",5
"Terricciola (PI)",5
"Santa Margherita Ligure (GE)",5
"Lanuvio (RM)",5
"Ziano Piacentino (PC)",5
"Martinsicuro (TE)",5
"Allai (OR)",4
"Soverato (CZ)",4
"Urbino (PU)",4
"Olbia (SS)",4
"Perugia (PG)",3
"Napoli (NA)",3
"Filattiera (MS)",3
"Gubbio (PG)",3
"Rivergaro (PC)",3
"Gazzola (PC)",3
"Farini (PC)",2
"Montesarchio (BN)",2
"Fucecchio (FI)",2
"Berceto (PR)",2
"Barumini (SU)",2
"Castellammare di Stabia (NA)",2
"Chieri (TO)",2
"Castel San Giovanni (PC)",2
"Monte Rinaldo (FM)",2
"Carpi (MO)",2
"Sarmato (PC)",2
"Rottofreno (PC)",2
"Mentana (RM)",1
"Acquappesa (CS)",1
"Portici (NA)",1
"Mulazzo (MS)",1
"Fiorenzuola d'Arda (PC)",1
"Grezzana (VR)",1
"Albareto (PR)",1
"Codigoro (FE)",1
"Anzio (RM)",1
"Isola della Scala (VR)",1
"Bedonia (PR)",1
"Tornolo (PR)",1
"Borgo Valbelluna (BL)",1
"San Giovanni in Fiore (CS)",1
"Pieve di Cadore (BL)",1
"Ostellato (FE)",1
"Comano (MS)",1
"San Pio delle Camere (AQ)",1
"Zeri (MS)",1
"Licciana Nardi (MS)",1
"Bardi (PR)",1
