"p","predicate"
"http://www.w3.org/2000/01/rdf-schema#label",164501304
"https://w3id.org/italia/onto/l0/name",95624798
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type",93934109
"https://w3id.org/arco/ontology/catalogue/hasCatalogueRecordVersionRiT",11796247
"https://w3id.org/italia/onto/RO/withRole",10147822
"https://w3id.org/italia/onto/RO/isRoleInTimeOf",10131395
"https://w3id.org/arco/ontology/catalogue/hasCatalogueRecordVersion",7192026
"https://w3id.org/arco/ontology/core/hasAgentRole",6900439
"https://w3id.org/arco/ontology/catalogue/isCatalogueRecordVersionOf",6874602
"https://w3id.org/arco/ontology/catalogue/editedAtTime",6813660
"https://w3id.org/arco/ontology/core/hasAgent",6770383
"https://w3id.org/arco/ontology/core/hasRole",6767728
"https://w3id.org/arco/ontology/core/isRoleOf",6486157
"https://w3id.org/arco/ontology/core/isAgentOf",6477651
"http://purl.org/dc/elements/1.1/source",6465214
"http://xmlns.com/foaf/0.1/depiction",6362899
"http://purl.org/dc/elements/1.1/subject",5743623
"https://w3id.org/arco/ontology/denotative-description/hasMeasurement",5523064
"https://w3id.org/arco/ontology/core/hasCategory",5213265
"https://w3id.org/arco/ontology/denotative-description/hasValue",5087850
"https://w3id.org/arco/ontology/denotative-description/hasMeasurementType",5087366
"https://w3id.org/italia/onto/MU/value",5081677
"https://w3id.org/arco/ontology/denotative-description/includesTechnicalCharacteristic",4909355
"https://w3id.org/arco/ontology/context-description/hasInterpretationCriterion",4733769
"https://w3id.org/arco/ontology/location/hasLocationType",4732915
"https://w3id.org/arco/ontology/location/hasTimeIndexedTypedLocation",4623705
"https://w3id.org/arco/ontology/catalogue/hasOfficialInCharge",4455441
"https://w3id.org/italia/onto/TI/atTime",4290831
"https://w3id.org/arco/ontology/location/isTimeIndexedTypedLocationOf",4199700
"https://w3id.org/arco/ontology/context-description/hasDocumentation",3970443
"https://w3id.org/arco/ontology/context-description/isDocumentationOf",3949977
"https://w3id.org/arco/ontology/context-description/hasDocumentationType",3824546
"http://data.cochrane.org/ontologies/pico/materialAndTechnique",3676037
"https://w3id.org/arco/ontology/denotative-description/hasTechnicalStatus",3663095
"https://w3id.org/arco/ontology/catalogue/systemRecordCode",3562127
"https://w3id.org/arco/ontology/denotative-description/hasMaterialOrTechnique",3547704
"https://w3id.org/arco/ontology/catalogue/isDescribedByCatalogueRecord",3535473
"http://purl.org/dc/elements/1.1/publisher",3416027
"http://purl.org/dc/terms/isReferencedBy",3416027
"http://purl.org/dc/elements/1.1/language",3415952
"https://w3id.org/arco/ontology/catalogue/describesCulturalProperty",3415928
"https://w3id.org/arco/ontology/context-description/hasDatingEvent",3412001
"https://w3id.org/arco/ontology/context-description/hasDating",3410190
"http://purl.org/dc/elements/1.1/type",3400330
"https://w3id.org/arco/ontology/context-description/documentationIdentifier",3207115
"https://w3id.org/arco/ontology/arco/hasHeritageProtectionAgency",3130439
"https://w3id.org/arco/ontology/core/description",3081614
"http://purl.org/dc/elements/1.1/date",3047666
"https://w3id.org/arco/ontology/core/note",3032731
"http://www.w3.org/2000/01/rdf-schema#comment",3022712
"https://w3id.org/arco/ontology/context-description/hasAuthorshipAttribution",3020296
"http://purl.org/dc/elements/1.1/title",3017658
"https://w3id.org/arco/ontology/catalogue/lastUpdateDate",3017601
"https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertyType",2996034
"https://w3id.org/arco/ontology/location/isCulturalPropertyAddressOf",2995868
"http://purl.org/dc/terms/spatial",2995797
"https://w3id.org/arco/ontology/arco/hasCataloguingAgency",2995783
"https://w3id.org/arco/ontology/arco/isCataloguingAgencyOf",2995783
"https://w3id.org/arco/ontology/location/hasCulturalPropertyAddress",2995587
"http://purl.org/dc/elements/1.1/coverage",2918201
"https://w3id.org/arco/ontology/catalogue/hasResponsibleResearchAndCompilation",2903645
"https://w3id.org/arco/ontology/arco/regionIdentifier",2882502
"https://w3id.org/arco/ontology/context-description/specificTime",2844638
"https://w3id.org/arco/ontology/denotative-description/hasMeasurementCollection",2840066
"http://purl.org/dc/elements/1.1/identifier",2819412
"http://purl.org/dc/elements/1.1/format",2810462
"http://data.cochrane.org/ontologies/pico/preview",2804143
"https://w3id.org/arco/ontology/context-description/isAuthorshipAttributionOf",2784242
"https://w3id.org/arco/ontology/context-description/hasLegalSituation",2751698
"http://purl.org/dc/elements/1.1/description",2741863
"http://purl.org/dc/elements/1.1/rights",2735552
"https://w3id.org/arco/ontology/arco/isHeritageProtectionAgencyOf",2710806
"https://w3id.org/arco/ontology/catalogue/catalogueRecordIdentifier",2691345
"https://w3id.org/arco/ontology/arco/uniqueIdentifier",2676041
"https://w3id.org/arco/ontology/arco/catalogueNumber",2653717
"https://w3id.org/arco/ontology/catalogue/hasCataloguingLevel",2644506
"https://w3id.org/arco/ontology/denotative-description/hasConservationStatus",2617104
"https://w3id.org/arco/ontology/denotative-description/hasConservationStatusType",2595215
"https://w3id.org/arco/ontology/location/atLocation",2466877
"https://w3id.org/arco/ontology/catalogue/hasUpdateResponsibleResearchAndCompilation",2378978
"https://w3id.org/arco/ontology/catalogue/hasAccessProfile",2330025
"https://w3id.org/arco/ontology/catalogue/hasPrivacyLevel",2330019
"https://w3id.org/arco/ontology/location/hasCulturalInstituteOrSite",2323191
"https://w3id.org/arco/ontology/catalogue/hasPrivacyReason",2319988
"https://w3id.org/arco/ontology/core/specifications",2118605
"https://w3id.org/arco/ontology/location/atSite",2109949
"https://w3id.org/italia/onto/MU/hasMeasurementUnit",2039868
"https://w3id.org/arco/ontology/context-description/hasCulturalScope",1889669
"https://w3id.org/arco/ontology/context-description/hasBibliography",1859417
"https://w3id.org/arco/ontology/context-description/subject",1857547
"https://w3id.org/arco/ontology/context-description/isBibliographyOf",1835133
"http://purl.org/dc/terms/bibliographicCitation",1762805
"https://w3id.org/arco/ontology/context-description/bibliographicReferenceAuthor",1748224
"https://w3id.org/arco/ontology/context-description/bibliographicReferenceDate",1745640
"https://w3id.org/arco/ontology/context-description/bibliographicReference",1742617
"https://w3id.org/arco/ontology/location/hasCoordinates",1640640
"https://w3id.org/arco/ontology/location/lat",1632847
"https://w3id.org/arco/ontology/location/long",1632847
"https://w3id.org/arco/ontology/context-description/inventoryIdentifier",1619061
"https://w3id.org/arco/ontology/context-description/hasAuthor",1617183
"https://w3id.org/arco/ontology/catalogue/hasDigitalTranscriptionOperator",1527539
"https://w3id.org/arco/ontology/denotative-description/hasAffixedElement",1496904
"http://purl.org/dc/elements/1.1/creator",1451708
"https://w3id.org/arco/ontology/context-description/hasSubject",1450175
"https://w3id.org/arco/ontology/context-description/isSubjectOf",1445872
"https://w3id.org/arco/ontology/denotative-description/positionOnCulturalProperty",1299624
"https://w3id.org/italia/onto/CLV/hasGeometry",1286568
"http://data.cochrane.org/ontologies/pico/author",1284397
"https://w3id.org/italia/onto/CLV/hasGeometryType",1256705
"https://w3id.org/italia/onto/CLV/isGeometryFor",1250660
"https://w3id.org/arco/ontology/context-description/bibliographyLocalIdentifier",1171206
"https://w3id.org/arco/ontology/context-description/hasAttributedAuthor",1127224
"https://w3id.org/arco/ontology/context-description/hasInventorySituation",1124811
"https://w3id.org/arco/ontology/denotative-description/hasTechnique",1033209
"https://w3id.org/italia/onto/CLV/serialization",1031926
"https://w3id.org/arco/ontology/denotative-description/transcript",1031300
"https://w3id.org/arco/ontology/context-description/historicalInformation",1026658
"https://w3id.org/arco/ontology/denotative-description/hasFunctionalPurpose",997688
"https://w3id.org/italia/onto/l0/identifier",981733
"https://w3id.org/arco/ontology/context-description/hasOwner",970917
"https://w3id.org/italia/onto/TI/time",970137
"https://w3id.org/arco/ontology/context-description/hasPreferredAuthor",839674
"https://w3id.org/arco/ontology/arco/hasCulturalPropertyCataloguingCategory",824179
"https://w3id.org/arco/ontology/context-description/isAuthorOf",785926
"https://w3id.org/arco/ontology/denotative-description/hasFontStyle",745919
"https://w3id.org/arco/ontology/location/isCulturalInstituteOrSiteOf",690027
"https://w3id.org/arco/ontology/context-description/involvesRelatedWork",681724
"https://w3id.org/arco/ontology/context-description/hasInterventionRole",605181
"https://w3id.org/arco/ontology/arco/hasCulturalPropertyCategory",555733
"https://w3id.org/arco/ontology/catalogue/hasAlternativeIdentifier",507000
"https://w3id.org/arco/ontology/denotative-description/hasPhotoColour",436902
"https://w3id.org/arco/ontology/core/hasType",430756
"https://w3id.org/arco/ontology/context-description/hasAcquisition",427842
"https://w3id.org/arco/ontology/context-description/isAcquisitionOf",427467
"https://w3id.org/arco/ontology/core/hasPart",426704
"https://w3id.org/arco/ontology/context-description/hasRelatedWorkSituation",422644
"https://w3id.org/arco/ontology/context-description/hasAcquisitionType",420688
"https://w3id.org/arco/ontology/core/isComponentOf",420448
"https://w3id.org/arco/ontology/catalogue/localIdentifier",419633
"https://w3id.org/italia/onto/Language/hasLanguage",397859
"http://www.w3.org/2002/07/owl#sameAs",390124
"https://w3id.org/arco/ontology/context-description/hasCollection",360510
"https://w3id.org/arco/ontology/arco/numberOfComponents",339028
"https://w3id.org/arco/ontology/denotative-description/hasMaterial",338521
"https://w3id.org/arco/ontology/core/isPartOf",322439
"https://w3id.org/arco/ontology/context-description/documentationLocation",302150
"https://w3id.org/arco/ontology/denotative-description/hasDesignationInTime",298789
"https://w3id.org/arco/ontology/context-description/isCollectionIn",293940
"https://w3id.org/arco/ontology/context-description/hasTitle",283371
"https://w3id.org/arco/ontology/context-description/iconclassCode",279593
"https://w3id.org/arco/ontology/catalogue/hasScientificDirector",278331
"https://w3id.org/arco/ontology/context-description/hasPreviousOwner",262319
"https://w3id.org/arco/ontology/arco/isCulturalPropertyComponentOf",254068
"https://w3id.org/arco/ontology/context-description/hasArchive",252228
"https://w3id.org/arco/ontology/context-description/isArchivalUnitMemberOf",252157
"http://www.w3.org/2004/02/skos/core#relatedMatch",237471
"http://purl.org/dc/terms/relation",229800
"https://w3id.org/arco/ontology/context-description/hasMemberOfArchivalRecordSet",221679
"https://w3id.org/arco/ontology/context-description/isMemberOfArchivalRecordSetOf",221642
"https://w3id.org/arco/ontology/context-description/isRelatedWorkSituationOf",214809
"https://w3id.org/arco/ontology/denotative-description/refersToAgent",211659
"https://w3id.org/arco/ontology/context-description/acquisitionLocation",206200
"https://w3id.org/arco/ontology/context-description/hasActivityResponsible",204894
"https://w3id.org/arco/ontology/context-description/documentationTitle",204849
"https://w3id.org/arco/ontology/context-description/useFunction",198170
"https://w3id.org/arco/ontology/context-description/hasUse",195362
"https://w3id.org/arco/ontology/context-description/agentDate",191493
"https://w3id.org/arco/ontology/context-description/hasIntervention",190745
"https://w3id.org/italia/onto/CLV/hasProvince",187403
"https://w3id.org/italia/onto/CLV/hasCity",186648
"https://w3id.org/italia/onto/CLV/hasCountry",184853
"https://w3id.org/arco/ontology/construction-description/hasConstructionElement",173099
"https://w3id.org/arco/ontology/context-description/isTitleOf",170595
"https://w3id.org/arco/ontology/denotative-description/validity",169426
"https://w3id.org/arco/ontology/context-description/hasTitleType",168644
"https://w3id.org/arco/ontology/context-description/hasMeasurementCollection",168607
"https://w3id.org/arco/ontology/catalogue/hasUpdateOfficialInCharge",161391
"https://w3id.org/arco/ontology/denotative-description/hasShape",161000
"https://w3id.org/arco/ontology/context-description/completeBibliographicReference",160783
"https://w3id.org/arco/ontology/context-description/hasFormat",159672
"https://w3id.org/italia/onto/SM/URL",159479
"https://w3id.org/arco/ontology/arco/endTime",156287
"https://w3id.org/arco/ontology/arco/startTime",154872
"https://w3id.org/arco/ontology/immovable-property/hasConstructionElement",151879
"https://w3id.org/arco/ontology/context-description/hasSurvey",151851
"https://w3id.org/arco/ontology/context-description/subjectDescription",150459
"https://w3id.org/italia/onto/CLV/hasRegion",147211
"https://w3id.org/italia/onto/CLV/fullAddress",144403
"https://w3id.org/arco/ontology/context-description/hasUseType",141624
"https://w3id.org/arco/ontology/location/hasCadastralEntity",136866
"https://w3id.org/arco/ontology/context-description/agentLocalIdentifier",136101
"https://w3id.org/arco/ontology/context-description/hasActivityOperator",133824
"https://w3id.org/arco/ontology/location/hasBaseMap",128277
"https://w3id.org/arco/ontology/context-description/folio",128060
"http://dati.beniculturali.it/cis/siteAddress",125232
"https://w3id.org/arco/ontology/denotative-description/positionInComplexCulturalProperty",125103
"https://w3id.org/arco/ontology/context-description/findingNote",121838
"https://w3id.org/arco/ontology/context-description/properTitle",119773
"https://w3id.org/italia/onto/AccessCondition/hasAccessCondition",117704
"https://w3id.org/italia/onto/l0/description",117294
"https://w3id.org/arco/ontology/core/current",117108
"https://w3id.org/arco/ontology/denotative-description/hasDesignationType",112099
"https://w3id.org/arco/ontology/arco/hasMibacScopeOfProtection",111064
"https://w3id.org/arco/ontology/location/spacialReferenceSystem",110692
"https://w3id.org/arco/ontology/context-description/hasProtectiveMeasure",110657
"https://w3id.org/arco/ontology/location/hasGeometryMethod",98035
"https://w3id.org/arco/ontology/location/hasGeometryTechnique",97889
"https://w3id.org/arco/ontology/context-description/title",96842
"http://www.w3.org/2000/01/rdf-schema#seeAlso",95117
"https://w3id.org/arco/ontology/denotative-description/isCharacteristicClassifiedBy",93307
"https://w3id.org/italia/onto/CLV/hasAddress",93017
"https://w3id.org/arco/ontology/context-description/hasSurveyScientificDirector",91577
"https://w3id.org/arco/ontology/arco/suffix",90285
"https://w3id.org/arco/ontology/context-description/hasProponentAgency",89214
"https://w3id.org/italia/onto/TI/date",89180
"https://w3id.org/arco/ontology/context-description/isProponentAgencyOf",89053
"https://w3id.org/arco/ontology/location/hasCadastralIdentity",87254
"https://w3id.org/arco/ontology/denotative-description/occurrences",86344
"http://www.w3.org/2002/07/owl#deprecated",83309
"https://w3id.org/arco/ontology/movable-property/hasTaxon",82741
"https://w3id.org/arco/ontology/core/hasClassificationInTime",82268
"https://w3id.org/arco/ontology/context-description/hasEdition",81893
"https://w3id.org/italia/onto/SM/hasOnlineContactPoint",80015
"https://w3id.org/arco/ontology/context-description/hasAgentWithResponsibility",79370
"https://w3id.org/arco/ontology/context-description/hasResponsibility",79370
"https://w3id.org/italia/onto/CPV/familyName",78884
"http://dati.beniculturali.it/cis/involvesCulturalEntity",78755
"https://w3id.org/arco/ontology/context-description/hasCircumstance",77841
"https://w3id.org/italia/onto/CPV/givenName",76752
"https://w3id.org/italia/onto/TI/hasDayOfWeek",72786
"https://w3id.org/italia/onto/AccessCondition/hasAdmissionType",72786
"https://w3id.org/italia/onto/AccessCondition/closes",72786
"https://w3id.org/italia/onto/AccessCondition/opens",72786
"https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertyDefinition",72103
"https://w3id.org/arco/ontology/context-description/issueDate",69729
"https://w3id.org/arco/ontology/location/hasCadastralCity",67810
"http://www.w3.org/2004/02/skos/core#prefLabel",66710
"https://w3id.org/arco/ontology/catalogue/deletedICCDIdentifier",66356
"https://w3id.org/arco/ontology/context-description/hasBibliographyType",65057
"http://lod.xdams.org/reload/oad/extentAndMedium",64365
"https://w3id.org/italia/onto/SM/hasTelephone",64142
"https://w3id.org/italia/onto/CPV/sexID",62452
"https://w3id.org/italia/onto/CPV/hasSex",62429
"https://w3id.org/arco/ontology/context-description/hasCommission",62257
"https://w3id.org/arco/ontology/context-description/hasCommittent",60372
"https://w3id.org/arco/ontology/immovable-property/hasCovering",58985
"https://w3id.org/arco/ontology/construction-description/hasCovering",58985
"https://w3id.org/arco/ontology/natural-specimen-description/hasTaxon",57989
"http://dati.beniculturali.it/cis/hasSite",57808
"https://w3id.org/italia/onto/CLV/hasAddressArea",57021
"https://w3id.org/arco/ontology/context-description/digitalFileName",57007
"https://w3id.org/arco/ontology/denotative-description/hasIconographicOrDecorativeApparatus",56644
"https://w3id.org/arco/ontology/context-description/hasActivitySponsor",56304
"https://w3id.org/arco/ontology/core/isIdentifiedBy",56263
"https://w3id.org/arco/ontology/context-description/editionLocation",55776
"https://w3id.org/arco/ontology/core/isClassifiedBy",55332
"https://w3id.org/arco/ontology/context-description/hasAuthorityFileCataloguingAgency",53451
"https://w3id.org/arco/ontology/core/hasAutoreOpera",53360
"https://w3id.org/arco/ontology/location/hasSiteType",53102
"https://w3id.org/arco/ontology/denotative-description/hasIconographicOrDecorativeApparatusType",51863
"https://w3id.org/italia/onto/SM/hasEmail",50489
"https://w3id.org/arco/ontology/catalogue/hasUpdateResponsibleAgent",50429
"http://www.w3.org/2004/02/skos/core#inScheme",47551
"https://w3id.org/arco/ontology/context-description/hasCulturalPropertyStage",46910
"https://w3id.org/arco/ontology/natural-specimen-description/hasSpecimenHarvesting",46352
"https://w3id.org/arco/ontology/movable-property/hasSpecimenHarvesting",46346
"https://w3id.org/arco/ontology/context-description/attributedTitle",46175
"https://w3id.org/arco/ontology/context-description/isSpecimenMemberOf",45724
"http://dati.beniculturali.it/cis/isSubjectOf",45693
"https://w3id.org/arco/ontology/context-description/isMemberOfSpecimenCollectionOf",45420
"https://w3id.org/arco/ontology/context-description/hasUrbanPlanningInstrument",45218
"http://www.w3.org/2004/02/skos/core#broader",45105
"http://www.w3.org/2004/02/skos/core#narrower",45101
"https://w3id.org/italia/onto/CLV/postCode",44915
"https://w3id.org/arco/ontology/context-description/insertionDate",44250
"http://www.w3.org/2004/02/skos/core#closeMatch",43715
"https://w3id.org/arco/ontology/movable-property/isClassifiedByCurrentTaxon",42547
"https://w3id.org/arco/ontology/natural-specimen-description/isIdentifiedByCurrentTaxon",42547
"https://w3id.org/arco/ontology/construction-description/hasLayout",41683
"https://w3id.org/arco/ontology/immovable-property/hasLayout",41536
"https://w3id.org/arco/ontology/context-description/abbreviation",40792
"https://w3id.org/arco/ontology/context-description/isMemberOfCollectionOf",40485
"https://w3id.org/arco/ontology/context-description/hasMemberOfCollection",40383
"https://w3id.org/italia/onto/POT/hasTicket",40241
"http://dati.beniculturali.it/cis/institutionalCISName",39382
"https://w3id.org/arco/ontology/core/hasIdentificationInTime",38846
"https://w3id.org/arco/ontology/natural-specimen-description/isClassifiedByCurrentTaxon",38843
"https://w3id.org/italia/onto/SM/hasTelephoneType",38529
"https://w3id.org/arco/ontology/context-description/hasEligibleIntervention",38124
"https://w3id.org/arco/ontology/context-description/hasScale",38089
"https://w3id.org/arco/ontology/catalogue/recoveredData",37964
"https://w3id.org/arco/ontology/context-description/relatedWorkNote",37710
"https://w3id.org/arco/ontology/movable-property/hasChemicalFormula",36560
"https://w3id.org/arco/ontology/natural-specimen-description/hasChemicalFormula",36560
"https://w3id.org/italia/onto/POT/includes",35370
"https://w3id.org/italia/onto/POT/hasPriceSpecification",35370
"https://w3id.org/italia/onto/POT/hasCurrency",35370
"https://w3id.org/italia/onto/POT/hasCurrencyValue",35370
"https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertyAvailability",35319
"https://w3id.org/arco/ontology/movable-property/hasUnitCell",35315
"https://w3id.org/arco/ontology/natural-specimen-description/hasUnitCell",35315
"https://w3id.org/arco/ontology/movable-property/hasSpaceGroup",35183
"https://w3id.org/arco/ontology/natural-specimen-description/hasSpaceGroup",35183
"https://w3id.org/arco/ontology/movable-property/hasCrystalSystem",35113
"https://w3id.org/arco/ontology/natural-specimen-description/hasCrystalSystem",35113
"https://w3id.org/arco/ontology/movable-property/hasPointGroup",34981
"https://w3id.org/arco/ontology/movable-property/hasCrystalClass",34981
"https://w3id.org/arco/ontology/natural-specimen-description/hasPointGroup",34981
"https://w3id.org/arco/ontology/natural-specimen-description/hasCrystalClass",34981
"https://w3id.org/arco/ontology/catalogue/hasUpdateScientificRevisor",34210
"https://w3id.org/arco/ontology/context-description/noticeDate",33235
"https://w3id.org/arco/ontology/context-description/activityPlaceAndPeriod",32862
"http://www.w3.org/2002/07/owl#versionInfo",32507
"https://w3id.org/arco/ontology/context-description/isReusedBy",32190
"https://w3id.org/arco/ontology/location/hasTypeOfContext",31804
"http://dati.beniculturali.it/cis/isSiteOf",31581
"https://w3id.org/arco/ontology/context-description/archivalRecordLocation",31563
"https://w3id.org/italia/onto/CLV/hasSpatialCoverage",31237
"https://w3id.org/arco/ontology/movable-property/hasCrystalMorphology",31230
"https://w3id.org/arco/ontology/natural-specimen-description/hasCrystalMorphology",31230
"https://w3id.org/italia/onto/CPV/hasBirthPlace",30707
"https://w3id.org/italia/onto/SM/hasWebSite",29881
"https://w3id.org/italia/onto/SM/isEmailOf",29875
"http://purl.org/dc/terms/modified",29378
"https://w3id.org/italia/onto/l0/hasDescription",29293
"http://dati.beniculturali.it/cis/isMemberOfColCultEnt",29292
"https://w3id.org/arco/ontology/denotative-description/hasPhotoSize",29151
"https://w3id.org/arco/ontology/location/hasTerritorialArea",28877
"http://purl.org/dc/terms/created",28702
"https://w3id.org/arco/ontology/context-description/useConditions",28277
"https://w3id.org/italia/onto/CLV/officialStreetName",28226
"https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertySpecification",28059
"https://w3id.org/italia/onto/CPV/dateOfBirth",27948
"http://purl.org/dc/terms/available",27520
"http://xmlns.com/foaf/0.1/primaryTopic",27520
"https://w3id.org/italia/onto/CLV/hasStreetToponym",27423
"https://w3id.org/arco/ontology/construction-description/hasConstructionSpace",27135
"https://w3id.org/arco/ontology/context-description/relatedWorkLocation",26874
"https://w3id.org/arco/ontology/context-description/hasCopyright",26056
"https://w3id.org/italia/onto/SM/hasTelephoneNumber",26025
"https://w3id.org/italia/onto/CPV/dateOfDeath",25617
"http://lod.xdams.org/reload/oad/hasProduction",24118
"https://w3id.org/italia/onto/CLV/long",23939
"https://w3id.org/italia/onto/CLV/lat",23939
"https://w3id.org/arco/ontology/arco/positionInSequence",23401
"http://purl.org/dc/elements/1.1/extent",22879
"http://purl.org/dc/terms/isPartOf",22020
"http://lod.xdams.org/reload/oad/has_level",22017
"https://w3id.org/arco/ontology/context-description/hasCopyrightHolder",21721
"https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertyAccessibility",21682
"http://purl.org/dc/terms/subject",21664
"http://purl.org/dc/terms/provenance",21456
"http://lod.xdams.org/reload/oad/title",21455
"http://lod.xdams.org/reload/oad/referenceCode",21455
"http://dati.beniculturali.it/cis/isInSite",21455
"http://lod.xdams.org/reload/oad/startDate",21454
"http://lod.xdams.org/reload/oad/endDate",21454
"https://w3id.org/italia/onto/SM/emailAddress",21433
"https://w3id.org/italia/onto/SM/hasEmailType",21420
"https://w3id.org/italia/onto/TI/startTime",21341
"https://w3id.org/italia/onto/TI/endTime",21341
"http://dati.beniculturali.it/cis/isHostedBySite",21119
"https://w3id.org/arco/ontology/cataloguing-campaign/hasStatus",21069
"https://w3id.org/italia/onto/CPV/hasDeathPlace",20894
"https://w3id.org/arco/ontology/location/hasAltitude",20427
"https://w3id.org/italia/onto/CLV/toponymQualifier",20355
"https://w3id.org/arco/ontology/denotative-description/hasWritingSystem",19388
"https://w3id.org/arco/ontology/location/alt",18962
"https://w3id.org/arco/ontology/immovable-property/hasDesign",18553
"https://w3id.org/arco/ontology/construction-description/hasDesign",18553
"http://dati.beniculturali.it/cis/ISILidentifier",18218
"https://w3id.org/arco/ontology/context-description/hasDerivatedWorkType",18019
"https://w3id.org/arco/ontology/context-description/hasDetectionMethod",17856
"https://w3id.org/arco/ontology/context-description/hasInterventionType",17284
"https://w3id.org/arco/ontology/context-description/hasChangeOfAvailabilityType",17253
"https://w3id.org/arco/ontology/natural-specimen-description/hasIdentificationInTime",17206
"https://w3id.org/arco/ontology/immovable-property/hasInteriorSubdivision",17040
"https://w3id.org/arco/ontology/construction-description/hasInteriorSubdivision",17040
"http://rdfs.org/ns/void#triples",16542
"http://dati.beniculturali.it/cis/hasCISNameInTime",16243
"https://w3id.org/arco/ontology/context-description/address",16212
"https://w3id.org/arco/ontology/context-description/hasChangeOfAvailability",16154
"https://w3id.org/arco/ontology/context-description/uncertainAuthorshipAttribution",16136
"https://w3id.org/arco/ontology/context-description/archivalRecordSetTitle",16017
"https://w3id.org/arco/ontology/context-description/isLocatedIn",15915
"https://w3id.org/arco/ontology/context-description/isKeptIn",15871
"http://rdfs.org/ns/void#propertyPartition",15825
"http://rdfs.org/ns/void#property",15825
